blockname,code,type,source
通达信88,000002,gn,tdx
通达信88,000028,gn,tdx
通达信88,000060,gn,tdx
通达信88,000069,gn,tdx
通达信88,000333,gn,tdx
通达信88,000538,gn,tdx
通达信88,000598,gn,tdx
通达信88,000617,gn,tdx
通达信88,000661,gn,tdx
通达信88,000708,gn,tdx
通达信88,000876,gn,tdx
通达信88,000895,gn,tdx
通达信88,000963,gn,tdx
通达信88,002078,gn,tdx
通达信88,002203,gn,tdx
通达信88,002271,gn,tdx
通达信88,002311,gn,tdx
通达信88,002352,gn,tdx
通达信88,002353,gn,tdx
通达信88,002415,gn,tdx
通达信88,002594,gn,tdx
通达信88,002812,gn,tdx
通达信88,002850,gn,tdx
通达信88,002912,gn,tdx
通达信88,002916,gn,tdx
通达信88,300383,gn,tdx
通达信88,300628,gn,tdx
通达信88,300750,gn,tdx
通达信88,300751,gn,tdx
通达信88,300760,gn,tdx
通达信88,300770,gn,tdx
通达信88,300792,gn,tdx
通达信88,300816,gn,tdx
通达信88,600009,gn,tdx
通达信88,600030,gn,tdx
通达信88,600031,gn,tdx
通达信88,600036,gn,tdx
通达信88,600038,gn,tdx
通达信88,600048,gn,tdx
通达信88,600050,gn,tdx
通达信88,600104,gn,tdx
通达信88,600150,gn,tdx
通达信88,600167,gn,tdx
通达信88,600309,gn,tdx
通达信88,600346,gn,tdx
通达信88,600373,gn,tdx
通达信88,600377,gn,tdx
通达信88,600390,gn,tdx
通达信88,600398,gn,tdx
通达信88,600436,gn,tdx
通达信88,600486,gn,tdx
通达信88,600516,gn,tdx
通达信88,600519,gn,tdx
通达信88,600547,gn,tdx
通达信88,600585,gn,tdx
通达信88,600611,gn,tdx
通达信88,600729,gn,tdx
通达信88,600741,gn,tdx
通达信88,600754,gn,tdx
通达信88,600760,gn,tdx
通达信88,600835,gn,tdx
通达信88,600886,gn,tdx
通达信88,600900,gn,tdx
通达信88,601006,gn,tdx
通达信88,601088,gn,tdx
通达信88,601100,gn,tdx
通达信88,601155,gn,tdx
通达信88,601166,gn,tdx
通达信88,601318,gn,tdx
通达信88,601688,gn,tdx
通达信88,601808,gn,tdx
通达信88,601888,gn,tdx
通达信88,601965,gn,tdx
通达信88,603019,gn,tdx
通达信88,603160,gn,tdx
通达信88,603185,gn,tdx
通达信88,603288,gn,tdx
通达信88,603444,gn,tdx
通达信88,603458,gn,tdx
通达信88,603605,gn,tdx
通达信88,603806,gn,tdx
通达信88,603833,gn,tdx
通达信88,603887,gn,tdx
通达信88,603899,gn,tdx
通达信88,603986,gn,tdx
通达信88,688086,gn,tdx
通达信88,688178,gn,tdx
通达信88,688196,gn,tdx
长三角,000425,gn,tdx
长三角,002024,gn,tdx
长三角,002120,gn,tdx
长三角,002131,gn,tdx
长三角,002221,gn,tdx
长三角,002223,gn,tdx
长三角,002236,gn,tdx
长三角,002304,gn,tdx
长三角,002415,gn,tdx
长三角,002602,gn,tdx
长三角,002624,gn,tdx
长三角,300144,gn,tdx
长三角,300292,gn,tdx
长三角,300347,gn,tdx
长三角,300578,gn,tdx
长三角,300782,gn,tdx
长三角,600000,gn,tdx
长三角,600019,gn,tdx
长三角,600023,gn,tdx
长三角,600104,gn,tdx
长三角,600115,gn,tdx
长三角,600120,gn,tdx
长三角,600177,gn,tdx
长三角,600196,gn,tdx
长三角,600276,gn,tdx
长三角,600315,gn,tdx
长三角,600352,gn,tdx
长三角,600406,gn,tdx
长三角,600487,gn,tdx
长三角,600522,gn,tdx
长三角,600584,gn,tdx
长三角,600606,gn,tdx
长三角,600637,gn,tdx
长三角,600642,gn,tdx
长三角,600655,gn,tdx
长三角,600688,gn,tdx
长三角,600704,gn,tdx
长三角,600741,gn,tdx
长三角,600754,gn,tdx
长三角,600827,gn,tdx
长三角,600837,gn,tdx
长三角,600901,gn,tdx
长三角,601116,gn,tdx
长三角,601155,gn,tdx
长三角,601328,gn,tdx
长三角,601601,gn,tdx
长三角,601688,gn,tdx
长三角,603195,gn,tdx
长三角,603369,gn,tdx
长三角,603605,gn,tdx
长三角,603899,gn,tdx
泛珠三角,000002,gn,tdx
泛珠三角,000063,gn,tdx
泛珠三角,000157,gn,tdx
泛珠三角,000333,gn,tdx
泛珠三角,000524,gn,tdx
泛珠三角,000526,gn,tdx
泛珠三角,000538,gn,tdx
泛珠三角,000651,gn,tdx
泛珠三角,000776,gn,tdx
泛珠三角,000858,gn,tdx
泛珠三角,000997,gn,tdx
泛珠三角,002027,gn,tdx
泛珠三角,002180,gn,tdx
泛珠三角,002191,gn,tdx
泛珠三角,002352,gn,tdx
泛珠三角,002416,gn,tdx
泛珠三角,002419,gn,tdx
泛珠三角,002475,gn,tdx
泛珠三角,002505,gn,tdx
泛珠三角,002511,gn,tdx
泛珠三角,002594,gn,tdx
泛珠三角,003816,gn,tdx
泛珠三角,300015,gn,tdx
泛珠三角,300132,gn,tdx
泛珠三角,300413,gn,tdx
泛珠三角,300433,gn,tdx
泛珠三角,300750,gn,tdx
泛珠三角,300760,gn,tdx
泛珠三角,600025,gn,tdx
泛珠三角,600029,gn,tdx
泛珠三角,600030,gn,tdx
泛珠三角,600036,gn,tdx
泛珠三角,600048,gn,tdx
泛珠三角,600332,gn,tdx
泛珠三角,600362,gn,tdx
泛珠三角,600390,gn,tdx
泛珠三角,600395,gn,tdx
泛珠三角,600519,gn,tdx
泛珠三角,600660,gn,tdx
泛珠三角,600755,gn,tdx
泛珠三角,600804,gn,tdx
泛珠三角,601138,gn,tdx
泛珠三角,601166,gn,tdx
泛珠三角,601318,gn,tdx
泛珠三角,601899,gn,tdx
泛珠三角,601933,gn,tdx
泛珠三角,603160,gn,tdx
泛珠三角,603353,gn,tdx
泛珠三角,603444,gn,tdx
环渤海,000046,gn,tdx
环渤海,000652,gn,tdx
环渤海,000860,gn,tdx
环渤海,000938,gn,tdx
环渤海,000958,gn,tdx
环渤海,000977,gn,tdx
环渤海,002094,gn,tdx
环渤海,002146,gn,tdx
环渤海,002151,gn,tdx
环渤海,002241,gn,tdx
环渤海,002371,gn,tdx
环渤海,002382,gn,tdx
环渤海,300003,gn,tdx
环渤海,300058,gn,tdx
环渤海,600028,gn,tdx
环渤海,600050,gn,tdx
环渤海,600060,gn,tdx
环渤海,600258,gn,tdx
环渤海,600297,gn,tdx
环渤海,600309,gn,tdx
环渤海,600340,gn,tdx
环渤海,600346,gn,tdx
环渤海,600361,gn,tdx
环渤海,600511,gn,tdx
环渤海,600588,gn,tdx
环渤海,600600,gn,tdx
环渤海,600690,gn,tdx
环渤海,600694,gn,tdx
环渤海,600735,gn,tdx
环渤海,600739,gn,tdx
环渤海,600859,gn,tdx
环渤海,600900,gn,tdx
环渤海,600977,gn,tdx
环渤海,601066,gn,tdx
环渤海,601111,gn,tdx
环渤海,601186,gn,tdx
环渤海,601288,gn,tdx
环渤海,601319,gn,tdx
环渤海,601398,gn,tdx
环渤海,601628,gn,tdx
环渤海,601633,gn,tdx
环渤海,601668,gn,tdx
环渤海,601698,gn,tdx
环渤海,601816,gn,tdx
环渤海,601857,gn,tdx
环渤海,601881,gn,tdx
环渤海,601888,gn,tdx
环渤海,601985,gn,tdx
环渤海,603708,gn,tdx
环渤海,603712,gn,tdx
环渤海,603858,gn,tdx
环渤海,603986,gn,tdx
海峡西岸,000526,gn,tdx
海峡西岸,000536,gn,tdx
海峡西岸,000547,gn,tdx
海峡西岸,000592,gn,tdx
海峡西岸,000632,gn,tdx
海峡西岸,000663,gn,tdx
海峡西岸,000671,gn,tdx
海峡西岸,000701,gn,tdx
海峡西岸,000732,gn,tdx
海峡西岸,000753,gn,tdx
海峡西岸,000797,gn,tdx
海峡西岸,000905,gn,tdx
海峡西岸,000993,gn,tdx
海峡西岸,000997,gn,tdx
海峡西岸,001979,gn,tdx
海峡西岸,002029,gn,tdx
海峡西岸,002093,gn,tdx
海峡西岸,002098,gn,tdx
海峡西岸,002102,gn,tdx
海峡西岸,002110,gn,tdx
海峡西岸,002222,gn,tdx
海峡西岸,002228,gn,tdx
海峡西岸,002229,gn,tdx
海峡西岸,002235,gn,tdx
海峡西岸,002264,gn,tdx
海峡西岸,002396,gn,tdx
海峡西岸,002398,gn,tdx
海峡西岸,002474,gn,tdx
海峡西岸,002517,gn,tdx
海峡西岸,002529,gn,tdx
海峡西岸,002578,gn,tdx
海峡西岸,002593,gn,tdx
海峡西岸,002614,gn,tdx
海峡西岸,002626,gn,tdx
海峡西岸,002639,gn,tdx
海峡西岸,002674,gn,tdx
海峡西岸,002679,gn,tdx
海峡西岸,002682,gn,tdx
海峡西岸,002702,gn,tdx
海峡西岸,300051,gn,tdx
海峡西岸,300056,gn,tdx
海峡西岸,300062,gn,tdx
海峡西岸,300096,gn,tdx
海峡西岸,300102,gn,tdx
海峡西岸,300132,gn,tdx
海峡西岸,300174,gn,tdx
海峡西岸,300188,gn,tdx
海峡西岸,300198,gn,tdx
海峡西岸,300299,gn,tdx
海峡西岸,300300,gn,tdx
海峡西岸,300341,gn,tdx
海峡西岸,600033,gn,tdx
海峡西岸,600057,gn,tdx
海峡西岸,600067,gn,tdx
海峡西岸,600103,gn,tdx
海峡西岸,600153,gn,tdx
海峡西岸,600163,gn,tdx
海峡西岸,600203,gn,tdx
海峡西岸,600388,gn,tdx
海峡西岸,600436,gn,tdx
海峡西岸,600483,gn,tdx
海峡西岸,600493,gn,tdx
海峡西岸,600549,gn,tdx
海峡西岸,600563,gn,tdx
海峡西岸,600592,gn,tdx
海峡西岸,600660,gn,tdx
海峡西岸,600686,gn,tdx
海峡西岸,600693,gn,tdx
海峡西岸,600711,gn,tdx
海峡西岸,600734,gn,tdx
海峡西岸,600755,gn,tdx
海峡西岸,600802,gn,tdx
海峡西岸,600815,gn,tdx
海峡西岸,600897,gn,tdx
海峡西岸,601166,gn,tdx
海峡西岸,601377,gn,tdx
海峡西岸,601566,gn,tdx
海峡西岸,601933,gn,tdx
成渝特区,000155,gn,tdx
成渝特区,000509,gn,tdx
成渝特区,000510,gn,tdx
成渝特区,000514,gn,tdx
成渝特区,000565,gn,tdx
成渝特区,000568,gn,tdx
成渝特区,000586,gn,tdx
成渝特区,000593,gn,tdx
成渝特区,000598,gn,tdx
成渝特区,000625,gn,tdx
成渝特区,000628,gn,tdx
成渝特区,000629,gn,tdx
成渝特区,000656,gn,tdx
成渝特区,000688,gn,tdx
成渝特区,000710,gn,tdx
成渝特区,000731,gn,tdx
成渝特区,000736,gn,tdx
成渝特区,000788,gn,tdx
成渝特区,000790,gn,tdx
成渝特区,000801,gn,tdx
成渝特区,000803,gn,tdx
成渝特区,000810,gn,tdx
成渝特区,000835,gn,tdx
成渝特区,000858,gn,tdx
成渝特区,000876,gn,tdx
成渝特区,000888,gn,tdx
成渝特区,000892,gn,tdx
成渝特区,000912,gn,tdx
成渝特区,000935,gn,tdx
成渝特区,000950,gn,tdx
成渝特区,001696,gn,tdx
成渝特区,002004,gn,tdx
成渝特区,002023,gn,tdx
成渝特区,002190,gn,tdx
成渝特区,002191,gn,tdx
成渝特区,002258,gn,tdx
成渝特区,002259,gn,tdx
成渝特区,002272,gn,tdx
成渝特区,002357,gn,tdx
成渝特区,002366,gn,tdx
成渝特区,002386,gn,tdx
成渝特区,002422,gn,tdx
成渝特区,002466,gn,tdx
成渝特区,002480,gn,tdx
成渝特区,002497,gn,tdx
成渝特区,002507,gn,tdx
成渝特区,002539,gn,tdx
成渝特区,002558,gn,tdx
成渝特区,002628,gn,tdx
成渝特区,002630,gn,tdx
成渝特区,002651,gn,tdx
成渝特区,002697,gn,tdx
成渝特区,002765,gn,tdx
成渝特区,300006,gn,tdx
成渝特区,300019,gn,tdx
成渝特区,300022,gn,tdx
成渝特区,300092,gn,tdx
成渝特区,300101,gn,tdx
成渝特区,300122,gn,tdx
成渝特区,300127,gn,tdx
成渝特区,300194,gn,tdx
成渝特区,300249,gn,tdx
成渝特区,300275,gn,tdx
成渝特区,600039,gn,tdx
成渝特区,600093,gn,tdx
成渝特区,600101,gn,tdx
成渝特区,600106,gn,tdx
成渝特区,600109,gn,tdx
成渝特区,600116,gn,tdx
成渝特区,600129,gn,tdx
成渝特区,600131,gn,tdx
成渝特区,600132,gn,tdx
