code,pubDate,statDate,YOYEquity,YOYAsset,YOYNI,YOYEPSBasic,YOYPNI
sh.600000,2020-04-25,2020-03-31,0.177756,0.114666,0.054436,0.056604,0.054803
sh.600000,2020-08-29,2020-06-30,0.146376,0.129310,-0.097405,-0.102804,-0.098144
sh.600000,2020-10-31,2020-09-30,0.060865,0.130150,-0.075188,-0.104938,-0.074623
sh.600000,2019-04-30,2019-03-31,0.140998,0.067925,0.149803,0.152174,0.150577
sh.600000,2019-08-24,2019-06-30,0.117748,0.093265,0.121488,0.126316,0.123806
sh.600000,2019-10-30,2019-09-30,0.186028,0.115201,0.119091,0.125000,0.119032
sh.600000,2020-04-25,2019-12-31,0.174524,0.113890,0.052924,0.054054,0.053600
sh.600000,2018-04-28,2018-03-31,0.126714,0.041315,-0.012835,-0.061224,-0.010856
sh.600000,2018-08-30,2018-06-30,0.139222,0.029814,0.013253,-0.020619,0.014344
sh.600000,2018-10-31,2018-09-30,0.091073,0.004181,0.029908,-0.006897,0.031390
sh.600000,2019-03-26,2018-12-31,0.108504,0.024826,0.027508,0.005435,0.030521
sh.600000,2017-04-27,2017-03-31,0.106050,0.126566,0.043605,0.000000,0.038788
sh.600000,2017-08-30,2017-06-30,0.120243,0.101298,0.054808,0.021053,0.052111
sh.600000,2017-10-28,2017-09-30,0.159937,0.089779,0.030580,0.006944,0.029743
sh.600000,2018-04-28,2017-12-31,0.156156,0.047800,0.024666,-0.005405,0.021827
sh.600000,2016-04-30,2016-03-31,0.203598,0.228571,0.241047,0.160000,0.243702
sh.600000,2016-08-11,2016-06-30,0.209124,0.166724,0.120783,0.054936,0.119943
sh.600000,2016-10-29,2016-09-30,0.198311,0.153786,0.097745,0.034235,0.094720
sh.600000,2017-04-01,2016-12-31,0.167456,0.161153,0.052572,-0.007432,0.049304
sh.600000,2015-04-30,2015-03-31,0.317468,0.137637,0.046355,0.045296,0.045191
sh.600000,2015-08-20,2015-06-30,0.308659,0.171370,0.055058,0.054321,0.055041
sh.600000,2015-10-30,2015-09-30,0.297961,0.218869,0.065630,0.067524,0.067904
sh.600000,2016-04-07,2015-12-31,0.211405,0.202203,0.076795,0.057120,0.076086
