code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sh.600300,2020-04-30,2020-03-31,7.477785,12.035649,0.694939,129.507783,0.233347,0.128927
sh.600300,2019-04-27,2019-03-31,7.595869,11.848546,1.146461,78.502472,0.358854,0.189282
sh.600300,2019-08-31,2019-06-30,16.364044,10.999726,1.708494,105.355958,0.651096,0.346366
sh.600300,2019-10-26,2019-09-30,18.400401,14.673593,2.240938,120.485236,0.845444,0.457723
sh.600300,2020-04-30,2019-12-31,29.962586,12.014984,3.169355,113.587778,1.096988,0.602910
sh.600300,2018-04-28,2018-03-31,9.468040,9.505663,0.798344,112.733319,0.378077,0.187227
sh.600300,2018-08-31,2018-06-30,16.165107,11.135095,1.242495,144.869768,0.644806,0.329334
sh.600300,2018-10-30,2018-09-30,18.753618,14.397222,1.722482,156.750529,0.828856,0.434734
sh.600300,2019-04-27,2018-12-31,26.631379,13.517888,3.001856,119.925809,1.169166,0.607458
sh.600300,2017-04-22,2017-03-31,7.597569,11.845895,0.656331,137.125828,0.306389,0.163448
sh.600300,2017-08-26,2017-06-30,13.585599,13.249324,1.112920,161.736654,0.538622,0.284986
sh.600300,2017-10-28,2017-09-30,18.708751,14.431749,1.677001,161.001725,0.789711,0.408296
sh.600300,2018-03-31,2017-12-31,26.633276,13.516925,2.474224,145.500183,1.086358,0.559303
sh.600300,2016-04-23,2016-03-31,7.496716,12.005257,0.264111,340.765644,0.233644,0.129039
sh.600300,2016-08-27,2016-06-30,16.222260,11.095865,0.640363,281.090595,0.508911,0.283809
sh.600300,2016-10-29,2016-09-30,26.059628,10.360854,0.884780,305.160454,0.691266,0.381437
sh.600300,2017-03-22,2016-12-31,30.659048,11.742047,1.612299,223.283584,1.005393,0.543376
sh.600300,2015-04-25,2015-03-31,6.775185,13.283769,0.345027,260.849504,0.292602,0.158761
sh.600300,2015-08-29,2015-06-30,15.134919,11.893027,0.732693,245.668978,0.559185,0.307439
sh.600300,2015-10-31,2015-09-30,17.626313,15.318007,0.953898,283.049071,0.760208,0.415963
sh.600300,2016-03-31,2015-12-31,27.658057,13.016099,1.087882,330.918314,0.917104,0.499992
