blockname,code
300周期,"['000001', '000002', '000069', '000166', '000627', '000656', '000671', '000708', '000728', '000776', '000783', '000786', '000961', '001979', '002032', '002142', '002146', '002271', '002460', '002673', '002736', '002939', '002945', '002958', '300033', '300059', '600000', '600004', '600009', '600010', '600015', '600016', '600018', '600019', '600028', '600029', '600030', '600036', '600048', '600061', '600109', '600111', '600115', '600176', '600208', '600340', '600362', '600369', '600383', '600390', '600489', '600547', '600585', '600606', '600660', '600705', '600837', '600848', '600918', '600919', '600926', '600958', '600999', '601006', '601009', '601012', '601021', '601066', '601077', '601088', '601108', '601111', '601155', '601162', '601166', '601169', '601198', '601211', '601225', '601229', '601236', '601288', '601318', '601319', '601328', '601336', '601377', '601398', '601555', '601577', '601600', '601601', '601628', '601658', '601688', '601696', '601788', '601808', '601816', '601818', '601838', '601857', '601872', '601878', '601881', '601899', '601901', '601916', '601919', '601939', '601988', '601990', '601998', '603799', '603993']"
300非周,"['000063', '000066', '000100', '000157', '000333', '000338', '000425', '000538', '000568', '000596', '000625', '000651', '000661', '000703', '000723', '000725', '000768', '000858', '000860', '000876', '000895', '000938', '000963', '000977', '002001', '002007', '002008', '002024', '002027', '002044', '002049', '002050', '002120', '002129', '002153', '002157', '002179', '002202', '002230', '002236', '002241', '002252', '002304', '002311', '002352', '002371', '002384', '002410', '002414', '002415', '002422', '002456', '002463', '002475', '002493', '002508', '002555', '002558', '002594', '002600', '002601', '002602', '002607', '002624', '002714', '002739', '002773', '002812', '002821', '002841', '002916', '002938', '003816', '300003', '300014', '300015', '300122', '300124', '300136', '300142', '300144', '300347', '300408', '300413', '300433', '300498', '300529', '300601', '300628', '300676', '600011', '600025', '600027', '600031', '600050', '600066', '600068', '600085', '600104', '600118', '600150', '600161', '600177', '600183', '600196', '600233', '600271', '600276', '600297', '600299', '600309', '600332', '600346', '600352', '600406', '600436', '600438', '600482', '600487', '600498', '600519', '600522', '600570', '600584', '600588', '600600', '600637', '600655', '600690', '600703', '600741', '600745', '600760', '600763', '600795', '600809', '600845', '600872', '600886', '600887', '600893', '600900', '600989', '600998', '601100', '601117', '601138', '601186', '601216', '601231', '601238', '601360', '601390', '601607', '601618', '601633', '601668', '601669', '601698', '601727', '601766', '601800', '601877', '601888', '601933', '601985', '601989', '603019', '603087', '603156', '603160', '603195', '603259', '603288', '603369', '603392', '603501', '603658', '603833', '603899', '603986', '688008', '688009', '688012', '688036']"
3D打印,"['000638', '000928', '000938', '000969', '000988', '002008', '002171', '002222', '002309', '002339', '002348', '002361', '002375', '002526', '002529', '002540', '002545', '002576', '002690', '002698', '002730', '002786', '300004', '300024', '300043', '300161', '300177', '300210', '300220', '300221', '300227', '300236', '300331', '300337', '300521', '300853', '600080', '600288', '600466', '600765', '601700', '603002', '688333']"
5G概念,"['000063', '000070', '000547', '000586', '000636', '000662', '000801', '000823', '000836', '000881', '000889', '000890', '000938', '000988', '002017', '002023', '002049', '002089', '002093', '002104', '002115', '002123', '002137', '002138', '002148', '002194', '002217', '002229', '002231', '002261', '002268', '002281', '002288', '002309', '002313', '002316', '002364', '002369', '002384', '002402', '002426', '002446', '002451', '002463', '002467', '002475', '002491', '002528', '002542', '002544', '002547', '002579', '002583', '002635', '002725', '002786', '002792', '002796', '002815', '002819', '002837', '002845', '002848', '002851', '002860', '002881', '002885', '002886', '002889', '002897', '002902', '002912', '002913', '002916', '002927', '002929', '002935', '002938', '002947', '002965', '002976', '003031', '300002', '300025', '300038', '300047', '300050', '300068', '300077', '300079', '300081', '300098', '300099', '300115', '300123', '300134', '300136', '300184', '300205', '300209', '300217', '300249', '300250', '300252', '300265', '300279', '300288', '300292', '300299', '300308', '300310', '300312', '300319', '300322', '300325', '300328', '300345', '300366', '300379', '300394', '300397', '300408', '300414', '300476', '300493', '300502', '300504', '300513', '300520', '300532', '300537', '300538', '300548', '300560', '300563', '300565', '300570', '300571', '300576', '300578', '300590', '300593', '300597', '300602', '300608', '300615', '300620', '300634', '300635', '300638', '300644', '300647', '300679', '300684', '300698', '300710', '300711', '300726', '300731', '300735', '300739', '300747', '300762', '300828', '300852', '300903', '600050', '600105', '600198', '600206', '600260', '600289', '600345', '600353', '600485', '600487', '600498', '600522', '600677', '600703', '600734', '600745', '600775', '600776', '601068', '601138', '601869', '603005', '603042', '603083', '603118', '603186', '603203', '603220', '603228', '603236', '603322', '603328', '603559', '603602', '603618', '603703', '603728', '603773', '603803', '603912', '603920', '603936', '603991', '605258', '688001', '688135', '688159', '688313', '688418', '688519', '688536', '688668']"
C2M概念,"['000521', '000726', '002042', '002094', '002193', '002269', '002345', '002397', '002404', '002503', '002571', '002612', '002631', '002705', '002763', '002776', '002853', '300067', '300170', '300195', '300307', '300378', '300382', '300466', '300532', '300577', '300608', '300616', '300687', '300840', '600282', '600337', '600448', '600702', '600983', '603001', '603076', '603116', '603313', '603608', '603668', '603808', '603833', '603992', '688022']"
ETC概念,"['000948', '000997', '002017', '002049', '002104', '002331', '002373', '002401', '002436', '002484', '002512', '002654', '002682', '002860', '002869', '002941', '300020', '300075', '300079', '300098', '300184', '300205', '300376', '300379', '300448', '300462', '300541', '300552', '300603', '300717', '300790', '600035', '600106', '600271', '601801', '603068', '603223', '603458', '603869', '603933']"
IP变现,"['000673', '000793', '000802', '000892', '002174', '002175', '002235', '002292', '002343', '002354', '002425', '002502', '002555', '002571', '002624', '002699', '002712', '002717', '002739', '300027', '300043', '300051', '300081', '300133', '300144', '300251', '300299', '300315', '300336', '300364', '300418', '300426', '300459', '600229', '600551', '600576', '600593', '600637', '600640', '600652', '600715', '600880', '601098', '601599', '601949', '603533']"
MSCI中盘,"['000021', '000027', '000028', '000046', '000066', '000089', '000401', '000402', '000415', '000423', '000513', '000540', '000547', '000581', '000596', '000598', '000623', '000629', '000630', '000671', '000686', '000729', '000738', '000750', '000786', '000825', '000860', '000932', '000961', '000975', '000977', '000983', '000997', '000998', '002001', '002013', '002019', '002030', '002049', '002050', '002065', '002074', '002078', '002081', '002085', '002110', '002127', '002129', '002152', '002157', '002174', '002179', '002195', '002217', '002223', '002252', '002268', '002271', '002281', '002294', '002299', '002340', '002353', '002368', '002371', '002372', '002373', '002385', '002387', '002399', '002405', '002410', '002414', '002439', '002463', '002465', '002500', '002506', '002507', '002572', '002601', '002603', '002690', '002773', '002797', '002812', '002821', '002925', '002958', '300012', '300014', '300017', '300024', '300026', '300070', '300136', '300146', '300207', '300251', '300253', '300271', '300285', '300296', '300308', '300357', '300383', '300418', '300496', '300529', '300558', '300595', '300628', '300661', '300676', '300699', '600004', '600021', '600026', '600038', '600056', '600062', '600089', '600132', '600153', '600160', '600161', '600176', '600201', '600219', '600256', '600258', '600260', '600298', '600315', '600372', '600373', '600376', '600380', '600426', '600446', '600460', '600466', '600486', '600498', '600511', '600521', '600522', '600536', '600549', '600566', '600572', '600598', '600655', '600673', '600675', '600699', '600704', '600733', '600739', '600754', '600763', '600779', '600801', '600808', '600820', '600845', '600863', '600872', '600879', '600885', '600895', '600909', '600967', '601098', '601099', '601100', '601128', '601162', '601231', '601233', '601598', '601699', '601799', '601866', '601872', '601878', '601958', '601990', '603019', '603338', '603369', '603444', '603517', '603589', '603605', '603658', '603659', '603707', '603712', '603858', '603866', '603882', '603883', '603885', '603899', '603986', '688111']"
MSCI成份,"['000001', '000002', '000021', '000050', '000063', '000069', '000100', '000157', '000166', '000338', '000413', '000425', '000538', '000540', '000568', '000625', '000627', '000651', '000656', '000661', '000703', '000709', '000723', '000725', '000728', '000733', '000739', '000768', '000776', '000783', '000799', '000858', '000876', '000883', '000895', '000938', '000951', '000963', '000987', '000988', '001914', '001979', '002007', '002010', '002024', '002027', '002032', '002044', '002064', '002075', '002120', '002131', '002142', '002146', '002153', '002156', '002180', '002185', '002202', '002212', '002230', '002236', '002241', '002242', '002250', '002266', '002304', '002311', '002352', '002382', '002384', '002389', '002396', '002409', '002415', '002422', '002430', '002456', '002459', '002460', '002466', '002468', '002475', '002493', '002508', '002511', '002541', '002555', '002557', '002558', '002563', '002594', '002600', '002602', '002607', '002624', '002625', '002647', '002673', '002683', '002705', '002709', '002714', '002736', '002739', '002831', '002841', '002916', '002920', '002926', '002939', '002966', '300003', '300015', '300033', '300037', '300059', '300085', '300088', '300122', '300124', '300142', '300144', '300168', '300212', '300298', '300316', '300347', '300376', '300408', '300413', '300433', '300450', '300454', '300459', '300482', '300498', '300601', '300750', '300760', '300773', '300782', '300841', '300896', '300999', '600000', '600009', '600010', '600011', '600015', '600016', '600018', '600019', '600027', '600028', '600029', '600030', '600031', '600036', '600048', '600050', '600061', '600066', '600068', '600085', '600104', '600109', '600111', '600115', '600118', '600167', '600170', '600177', '600183', '600188', '600196', '600208', '600211', '600221', '600233', '600271', '600276', '600305', '600309', '600316', '600332', '600340', '600346', '600352', '600362', '600369', '600383', '600406', '600436', '600438', '600487', '600489', '600516', '600519', '600547', '600562', '600570', '600583', '600585', '600588', '600600', '600606', '600637', '600642', '600660', '600674', '600685', '600688', '600690', '600703', '600705', '600741', '600760', '600795', '600809', '600837', '600848', '600867', '600875', '600886', '600887', '600893', '600900', '600919', '600926', '600958', '600977', '600988', '600998', '600999', '601006', '601009', '601012', '601018', '601021', '601066', '601077', '601088', '601108', '601111', '601117', '601138', '601155', '601162', '601166', '601169', '601186', '601198', '601211', '601216', '601225', '601229', '601288', '601318', '601328', '601336', '601360', '601377', '601390', '601398', '601456', '601555', '601600', '601601', '601607', '601615', '601618', '601628', '601633', '601658', '601668', '601669', '601688', '601689', '601727', '601766', '601788', '601800', '601816', '601818', '601838', '601857', '601877', '601881', '601888', '601899', '601901', '601919', '601933', '601939', '601966', '601985', '601988', '601989', '601992', '603027', '603127', '603160', '603233', '603259', '603288', '603290', '603501', '603613', '603638', '603799', '603806', '603833', '603927', '603939', '603993', '688002', '688008', '688012', '688029', '688088', '688099', '688169', '688185', '688188']"
OLED概念,"['000012', '000045', '000050', '000100', '000413', '000536', '000725', '000727', '000810', '000960', '000973', '000990', '002008', '002036', '002055', '002149', '002217', '002326', '002341', '002371', '002384', '002387', '002409', '002426', '002450', '002455', '002456', '002547', '002559', '002579', '002585', '002600', '002618', '002635', '002643', '002660', '002845', '002870', '002876', '002885', '002952', '003015', '300032', '300037', '300054', '300057', '300076', '300088', '300097', '300120', '300128', '300131', '300134', '300155', '300221', '300223', '300256', '300260', '300263', '300296', '300305', '300306', '300317', '300327', '300331', '300346', '300395', '300398', '300400', '300410', '300429', '300433', '300457', '300476', '300481', '300512', '300537', '300545', '300566', '300567', '300576', '300604', '300632', '300655', '300657', '300661', '300666', '300667', '300686', '300706', '300721', '300751', '300812', '600064', '600135', '600206', '600330', '600355', '600363', '600458', '600460', '600510', '600552', '600641', '600666', '600667', '600707', '600836', '600839', '600961', '601208', '601958', '603010', '603078', '603203', '603212', '603228', '603629', '603773', '603920', '603929', '603931', '603985', '603996', '688001', '688019', '688028', '688093', '688138', '688181', '688378', '688550']"
